Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
,A Tribe Called Quest - The Low End Theory,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Absolute Audio, Album, Battery Studios, Brand Nubian Publishing, Bridgeport Music, Conscious, Dusty Fingers Music, Greene St. Recording, Hip Hop, Inc., Jazz Merchant Music, Jazzy Hip-Hop, Jive, Joe's Songs, LP, New School Publishing, New York, Reissue, Remastered, Skeffington Productions, Soundtrack Studios, United Record Pressing, Vinyl, Zomba Enterprises, Zomba Recording Corporation",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/ab67616d0000b273f38c6b37a21334e22005b1f7.jpg?v=1739456410,1,A Tribe Called Quest - The Low End Theory,FALSE,A Tribe Called Quest - The Low End Theory | Village Record Club,A Tribe Called Quest - The Low End Theory is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
,David Banner - #THEGODBOX,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"A Banner Vision, Album, Conscious, Empire, Hip Hop, LP, Trap, Vinyl",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/ab67616d0000b2731e70f9199da3a401c623c487.jpg?v=1739392875,1,David Banner - #THEGODBOX,FALSE,David Banner - #THEGODBOX | Village Record Club,David Banner - #THEGODBOX is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
,Daniel Ash - Stripped,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Cohearent Audio, Compilation, Dark Ambient, Drastic Plastic Records, Electronic, Glam, Go Studio, Goth Rock, Limited Edition, LLC, LP, Pop Rock, Quality Record Pressings, Record Store Day, Rock, Stoughton Printing Co., The Rabbit Hutch, Universal Music Publishing Group, Vinyl",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/ab67616d0000b273928546dcf1c863539e6cc836.jpg?v=1739392872,1,Daniel Ash - Stripped,FALSE,Daniel Ash - Stripped | Village Record Club,Daniel Ash - Stripped is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
,Billie Eilish - Live At Third Man Records,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Acoustic, Album, Darkroom, Indie Pop, Interscope Records, Limited Edition, LP, Nashville Record Productions, Pop, Record Store Day, Repress, Third Man Pressing, Third Man Records, Universal Music Distribution, Vinyl",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/ab67616d0000b27350a3147b4edd7701a876c6ce.jpg?v=1739392867,1,Billie Eilish - Live At Third Man Records,FALSE,Billie Eilish - Live At Third Man Records | Village Record Club,Billie Eilish - Live At Third Man Records is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
,Bill Nelson - Chance Encounters In The Garden Of Lights,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Allied Record Company, Ambient, Capitol Mastering, Cocteau Records, Electronic, Enigma, Experimental, LP, Specialty Records Corporation, Stereo, Synth-pop, Vinyl",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/ab67616d0000b273a03dddeb460e37ecc8abe718.jpg?v=1739392864,1,Bill Nelson - Chance Encounters In The Garden Of Lights,FALSE,Bill Nelson - Chance Encounters In The Garden Of Lights | Village Record Club,Bill Nelson - Chance Encounters In The Garden Of Lights is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
,Big Star - #1 Record,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Akarma, Album, Ardent Records, Birdees Music, Classic Rock, Comet Records, East/Memphis, Koala Music, LP, Original Master Music, Power Pop, Reissue, Remastered, Rock, Stax, Vinyl",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/ab67616d0000b273ece578a226806ad05af7a03d.jpg?v=1739392861,1,Big Star - #1 Record,FALSE,Big Star - #1 Record | Village Record Club,Big Star - #1 Record is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
,The Time Undefined - The Time Undefined EP Stage 2,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"12"", 33 ⅓ RPM, Deep House, Electronic, EP, Europadisk, Inc., Jessica Michael Music, Metamorphic Recordings, Strictly Rhythm, Strictly Rhythm Records, Techno, Terra-1 Music, Vinyl",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/cGc.jpg?v=1739000913,1,The Time Undefined - The Time Undefined EP Stage 2,FALSE,The Time Undefined - The Time Undefined EP Stage 2 | Village Record Club,The Time Undefined - The Time Undefined EP Stage 2 is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
,TwentyOnePilots - Vessel,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Alternative Rock, Electronic, Fueled By Ramen, Hip Hop, Howie Weinberg Mastering, Indie Rock, Limited Edition, LLC, LP, Pop, R.E.M. Sound, Rainbo Records, Rock, Rocket Carousel Studio, Synth-pop, Vinyl, WEA International Inc.",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/OS05NDAxLmpwZWc.jpg?v=1739000911,1,TwentyOnePilots - Vessel,FALSE,TwentyOnePilots - Vessel | Village Record Club,TwentyOnePilots - Vessel is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
,that dog. - Totally Crushed Out!,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Geffen Records, Indie Rock, LP, Reissue, Rock, Stereo, Third Man Mastering, Third Man Pressing, Third Man Records, Vinyl",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/OTItMjUzNS5qcGVn.jpg?v=1739000908,1,that dog. - Totally Crushed Out!,FALSE,that dog. - Totally Crushed Out! | Village Record Club,that dog. - Totally Crushed Out! is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
,that dog. - Old LP,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Alternative Rock, Kingsize Soundlabs, LP, Park Oak Studios, Rock, The Atomic Garden Recording Studio, The Boat, The Whiskey Kitchen, UMe, Vinyl",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0642/7597/2265/files/ODYtMzExNy5qcGVn.jpg?v=1739000906,1,that dog. - Old LP,FALSE,that dog. - Old LP | Village Record Club,that dog. - Old LP is available to add to your wishlist.,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
