Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Taylor Swift - THE TORTURED POETS DEPARTMENT,Taylor Swift - THE TORTURED POETS DEPARTMENT,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Taylor Swift, ",,,,,,,,00602465599800,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,,,,,,,,,,,,,,,,,,,,,,,,,Active
Pearl Jam - Dark Matter,Pearl Jam - Dark Matter,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Pearl Jam, ",,,,,,,,00602465142983,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b2736fcdcbbd9cae9001ca5b20d5,,,,,,,,,,,,,,,,,,,,,,,,,Active
Anne Wilson - REBEL,Anne Wilson - REBEL,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Anne Wilson, ",,,,,,,,00602458864816,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b273f7ee7120f7bf51045dff090d,,,,,,,,,,,,,,,,,,,,,,,,,Active
"Hozier - Wasteland, Baby! (Special Edition)","Hozier - Wasteland, Baby! (Special Edition)",,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Hozier, ",,,,,,,,00602465223941,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b273f0722706190993eadd8ad6aa,,,,,,,,,,,,,,,,,,,,,,,,,Active
Wyatt Flores - Half Life,Wyatt Flores - Half Life,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Wyatt Flores, ",,,,,,,,00602465332056,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b2730a0de163efc03ffc3bc597af,,,,,,,,,,,,,,,,,,,,,,,,,Active
Elvie Shane - Damascus,Elvie Shane - Damascus,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Elvie Shane, ",,,,,,,,4099964024500,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b273f0b8b953717d68294b1cdc60,,,,,,,,,,,,,,,,,,,,,,,,,Active
Eyedress - Vampire in Beverly Hills,Eyedress - Vampire in Beverly Hills,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Eyedress, ",,,,,,,,196871975117,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b273415ca550a5a8bfd6b9a8bfa3,,,,,,,,,,,,,,,,,,,,,,,,,Active
Tourist - Memory Morning,Tourist - Memory Morning,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Tourist, ",,,,,,,,197190903041,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b273b8099f7ce6d7c58e642b2162,,,,,,,,,,,,,,,,,,,,,,,,,Active
Forest Blakk - Undone (Love & Loss),Forest Blakk - Undone (Love & Loss),,Village Record Club,Media > Music & Sound Recordings > Records & LPs,single,"Forest Blakk, ",,,,,,,,075679659941,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b273633bdf06dfa1ab09b5dc6e16,,,,,,,,,,,,,,,,,,,,,,,,,Active
"The Alchemist - Heads I Win, Tails You Lose","The Alchemist - Heads I Win, Tails You Lose",,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"The Alchemist, ",,,,,,,,197342556163,,,,deny,manual,,,,,,https://i.scdn.co/image/ab67616d0000b27312d3962cf62fe44a5519543c,,,,,,,,,,,,,,,,,,,,,,,,,Active
