Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
,The Time Undefined - The Time Undefined EP Stage 2,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"12"", 33 ⅓ RPM, Deep House, Electronic, EP, Europadisk, Inc., Jessica Michael Music, Metamorphic Recordings, Strictly Rhythm, Strictly Rhythm Records, Techno, Terra-1 Music, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/XjzAUl-WZ_jANw6X4eefOmtOQkqCRiCBfuUmVvC_hZM/rs:fit/g:sm/q:90/h:300/w:299/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1MTYt/MTA5NzMyMjQzNS5q/cGc.jpeg,1,The Time Undefined - The Time Undefined EP Stage 2,FALSE,The Time Undefined - The Time Undefined EP Stage 2 | Village Record Club,The Time Undefined - The Time Undefined EP Stage 2 is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,TwentyOnePilots - Vessel,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Alternative Rock, Electronic, Fueled By Ramen, Hip Hop, Howie Weinberg Mastering, Indie Rock, Limited Edition, LLC, LP, Pop, R.E.M. Sound, Rainbo Records, Rock, Rocket Carousel Studio, Synth-pop, Vinyl, WEA International Inc.",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/x9OgX371MsFk1BJrhy1XfTV6DDqe5sfJFW8m7WJid-I/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUwNjI1/NjYtMTM4MzQ4NjMz/NS05MTQ0LmpwZWc.jpeg,1,TwentyOnePilots - Vessel,FALSE,TwentyOnePilots - Vessel | Village Record Club,TwentyOnePilots - Vessel is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,slowthai - U Gotta Love Yourself,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Hip Hop, LP, Method Records, Post-Punk, Rock, Schallplattenfabrik Pallas GmbH, StarDelta Audio Mastering, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/ppKxpz3ro6wd3QsEEJXnFV_xhrnVZzY2RzQ9mp-vFVA/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2Mjg1/MzQ1LTE2Nzc4MDk2/ODAtMjYzMi5qcGVn.jpeg,1,slowthai - U Gotta Love Yourself,FALSE,slowthai - U Gotta Love Yourself | Village Record Club,slowthai - U Gotta Love Yourself is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,deadmau5 - W:/2016ALBUM/,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Electro House, Electronic, EpicPublishing, Finyl Tweek, Grabbitz Music, Inc., Kobalt Label Services America, LLC, LP, mau5trap Recordings, mau5trap Recordings Ltd, MPO, Phil James Waring, Prime Direct Distribution, Progressive House, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/THHX81Cxr1EDWBbZVPxsIa0YccOgo1PGzu1ppB7FBpc/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzNzIz/MjktMTQ4MDU5ODk0/NS0zNDU3LmpwZWc.jpeg,1,deadmau5 - W:/2016ALBUM/,FALSE,deadmau5 - W:/2016ALBUM/ | Village Record Club,deadmau5 - W:/2016ALBUM/ is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Alt-J - An Awesome Wave,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"& Country, 360 Mastering, Album, Experimental, Folk, Folk Rock, GZ Digital Media, Infectious Music, Infectious Music Ltd., Kobalt Music Group, LP, Pop, Rock, Vinyl, World",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/b3PyRl5klpdI2kSDcyYkOuaXHhPHxDYgHGvvTxcDWuE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2NTM1/OTEtMTQwMTM2OTk3/OC04MzIyLmpwZWc.jpeg,1,Alt-J - An Awesome Wave,FALSE,Alt-J - An Awesome Wave | Village Record Club,Alt-J - An Awesome Wave is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Zhané - Pronounced Jah-Nay,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"118 St. Productions, 9th Town Music, Album, Almo Music Corp., Babyfingers Music, Bernie Grundman Mastering, Contemporary R&B, DFI, Encore Studios, Enterprise Studios, Freddie Dee Music, Funk / Soul, Higher Level Inc., Hip Hop, Inc., Irving Music, Jean Norris Music, L.P., LP, Marion Recording Studios, Medad Music, Mims Music, Motown, Motown Record Company, Naughty By Nature, Naughty Music, Polydor Ltd. (UK), RCA Records, Rodsongs, Shown Breree Music, Sony Music Entertainment Inc., Soundtrack Studios, Unique Recording, Vinyl, Warner Bros. Records",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/W6HwdMpXECy4KI76ySFTnDGhZLYgw3htET9mp7x5qXY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYyMDEw/OS0xNTg5Njk0MDU2/LTgwOTAuanBlZw.jpeg,1,Zhané - Pronounced Jah-Nay,FALSE,Zhané - Pronounced Jah-Nay | Village Record Club,Zhané - Pronounced Jah-Nay is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,ZZ Top - ZZ Top's First Album,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Blues, Blues Rock, H.V. Waddell Co., London Records, LP, Rock, Stereo, Texas Blues, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/oVG2HnGpXknbkyC7f3JGK6w3mXHQBmug9cuzV-Dvg8k/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2NjA0/NTItMTI5NTQzMDgx/MC5qcGVn.jpeg,1,ZZ Top - ZZ Top's First Album,FALSE,ZZ Top - ZZ Top's First Album | Village Record Club,ZZ Top - ZZ Top's First Album is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Yusuf / Cat Stevens - The Laughing Apple,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"& Country, Album, Cat-O-Log Records, Folk, ICP Recording Studios, Limited Edition, LP, Picture Disc, UMG Commercial Services Inc., Universal Music Operations Ltd., Verve Label Group, Verve Records, Vinyl, World",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/IalrESbQaC9TKJoB4wdar6oe1kGms76qQDYevicjmqs/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwODUy/MDE2LTE1MDU0OTE3/NjEtMzQ3OC5qcGVn.jpeg,1,Yusuf / Cat Stevens - The Laughing Apple,FALSE,Yusuf / Cat Stevens - The Laughing Apple | Village Record Club,Yusuf / Cat Stevens - The Laughing Apple is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Yung Wu - Shore Leave,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, Alternative Rock, Coyote Records, LP, Masterdisk, Rainbo Records, Rock, Stationary Music, TRG Records, TRO-Cheshire, Twin/Tone Records, Vinyl, Water Music Recorders",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/i-J9TXNlXbFkwjuwfT8JVcfdAsHXjoP81J0Ypn43tFI/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3MTEz/MTktMTM0NTM3NTc0/Mi0yNjE3LmpwZWc.jpeg,1,Yung Wu - Shore Leave,FALSE,Yung Wu - Shore Leave | Village Record Club,Yung Wu - Shore Leave is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
,Yuksek - Dance’O’Drome,,Village Record Club,Media > Music & Sound Recordings > Records & LPs,album,"Album, BMG Rights Management, Dance-pop, Electro, Electronic, LP, Nu-Disco, Partyfine, Vinyl",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,0,,TRUE,FALSE,,https://i.discogs.com/gla_A5JU5i-LMDQ3rUKsGFS3rCMgZTpawNA8VvwzI6k/rs:fit/g:sm/q:90/h:656/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3MTYz/MzI5LTE2ODUwOTE5/NDEtODk1My5qcGVn.jpeg,1,Yuksek - Dance’O’Drome,FALSE,Yuksek - Dance’O’Drome | Village Record Club,Yuksek - Dance’O’Drome is available to add to your wishlist.,,,,,,,,,,,,,,,lb,,,,,active
